token,reason,enabled
삽니다,bait_or_noise,1
매입,bait_or_noise,1
구매,bait_or_noise,1
구해요,bait_or_noise,1
구함,bait_or_noise,1
교환,bait_or_noise,1
대여,bait_or_noise,1
렌탈,bait_or_noise,1
무료,bait_or_noise,1
나눔,bait_or_noise,1
공짜,bait_or_noise,1
급처매입,bait_or_noise,1
전단,bait_or_noise,1
홍보,bait_or_noise,1
광고,bait_or_noise,1
업자,bait_or_noise,1
문의,bait_or_noise,1
