category,tokens,enabled
디지털/가전 > 모바일,"아이폰,iphone,갤럭시,galaxy,모바일,스마트폰,휴대폰,핸드폰,s25,s25plus,s25ultra,s26,s26ultra",1
디지털/가전 > 노트북,"맥북,macbook,macbookair,macbookpro,그램,gram,노트북,랩탑,laptop",1
