bracket_content,normalized_content,match_index_in_title,keyword,platform,pid,name,price,status,link
번개페이,번개페이,1,아이폰 17,번개장터,398212143,[번개페이]아이폰17 라벤더 256 풀박스 + 애케플 애플케어,1090000,판매중,https://m.bunjang.co.kr/products/398212143
미개봉 자급제,미개봉 자급제,1,아이폰 17,번개장터,406170098,[미개봉 자급제]애플 아이폰 17 512g 화이트/블랙,1590000,판매중,https://m.bunjang.co.kr/products/406170098
ios17.7,ios17.7,1,아이폰 17,번개장터,319455436,[ios17.7]아이폰 Xs Max 골드 256기가+케이스5종+보호필름,442942,판매중,https://m.bunjang.co.kr/products/319455436
개통폰,개통폰,1,아이폰 17,번개장터,403441114,[개통폰] 아이폰17 타통신사 -> KT 번호이동 최고조건,287000,판매중,https://m.bunjang.co.kr/products/403441114
개통폰,개통폰,1,아이폰 17,번개장터,403440918,[개통폰] 아이폰17 타통신사 -> SK 번호이동 최고조건,337000,판매중,https://m.bunjang.co.kr/products/403440918
5월6일 발송확정,5월6일 발송확정,1,아이폰 17,번개장터,404522862,[5월6일 발송확정] 아이폰 5c 그린 32기가 #5717,160000,판매중,https://m.bunjang.co.kr/products/404522862
무음,무음,1,아이폰 17,번개장터,380790956,[무음] 아이폰 6 골드 16GB (F17S1),95000,판매중,https://m.bunjang.co.kr/products/380790956
새상품,새상품,1,아이폰 17,번개장터,404757726,"[새상품] 아이폰17 맥세이프 링 스탠드 케이스, 핸드폰 거치대",4000,판매중,https://m.bunjang.co.kr/products/404757726
아이폰17,아이폰17,1,아이폰 17,번개장터,398795760,[아이폰17]  애플 로고 실리콘 케이스 화이트,8000,판매중,https://m.bunjang.co.kr/products/398795760
판매완료,판매완료,1,아이폰 17,번개장터,405818756,[판매완료] 자급제 아이폰17 256 화이트 풀박스,1060000,예약중,https://m.bunjang.co.kr/products/405818756
"미개봉,새상품","미개봉,새상품",1,아이폰 17,번개장터,376429785,"[미개봉,새상품]아이폰17 256G",697000,판매중,https://m.bunjang.co.kr/products/376429785
17개,17개,1,아이폰 17,번개장터,403517735,"[17개] 애플박스 일괄 (아이폰17,아이폰,에어팟,맥북,아이패드)",70000,판매중,https://m.bunjang.co.kr/products/403517735
