keyword,platform,pid,name,cluster_product_name,price_numeric,status,link,cluster_name_text,tokenized_cluster_name_text,c1,c2,c3,c4,c5,c6,c7,c8
갤럭시,번개장터,411995986,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/411995986,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412039481,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412039481,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412113761,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412113761,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412246174,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412246174,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412259604,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412259604,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412287386,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412287386,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412311809,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412311809,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412349859,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412349859,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412382449,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412382449,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,412429928,갤럭시 A905G 블랙 정상공기기 중고폰,갤럭시 a90 5gb,125000,판매중,https://m.bunjang.co.kr/products/412429928,갤럭시 a90 5gb,갤럭시 a90 5gb,갤럭시,a90,5gb,,,,,
갤럭시,번개장터,408009468,삼성 갤럭시 A퀀텀,갤럭시 a퀀텀,100000,판매중,https://m.bunjang.co.kr/products/408009468,갤럭시 a퀀텀,갤럭시 a퀀텀,갤럭시,a퀀텀,,,,,,
갤럭시,번개장터,410250564,(새상품) 갤럭시 book go 128gb silver,갤럭시 book go 128gb silver,300000,판매중,https://m.bunjang.co.kr/products/410250564,갤럭시 book go 128gb silver,갤럭시 book go 128gb silver,갤럭시,book,go,128gb,silver,,,
갤럭시,번개장터,411830237,삼성 갤럭시 Buddy2 SM-M236L,갤럭시 bud dy2 sm m236l,100000,판매중,https://m.bunjang.co.kr/products/411830237,갤럭시 buddy2 sm m236l,갤럭시 bud dy2 sm m236l,갤럭시,bud,dy2,sm,m236l,,,
갤럭시,번개장터,411849813,갤럭시 CG646MB 투톤 밴드 메탈 손목시계,갤럭시 cg646mb 투톤 밴드 메탈 손목 시계,40000,판매중,https://m.bunjang.co.kr/products/411849813,갤럭시 cg646mb 투톤 밴드 메탈 손목시계,갤럭시 cg646mb 투톤 밴드 메탈 손목 시계,갤럭시,cg646mb,투톤,밴드,메탈,손목,시계,
갤럭시,번개장터,412248491,갤럭시23FE 256GB,갤럭시 fe 256gb,350000,판매중,https://m.bunjang.co.kr/products/412248491,갤럭시23fe 256gb,갤럭시 fe 256gb,갤럭시,fe,256gb,,,,,
갤럭시,중고나라,229284731,갤럭시 GALAX 지포스 RTX 4070 SUPER EX GAMER BLACK OC D6X 12GB 팝니다.,갤럭시 ga la x 지포스 rtx super ex,600000,판매중,https://web.joongna.com/product/229284731,갤럭시 galax 지포스 rtx super ex gamer black oc d6x 12gb,갤럭시 ga la x 지포스 rtx super ex gamer b la ck oc d6x 12gb,갤럭시,ga,la,x,지포스,rtx,super,ex
갤럭시,번개장터,387484394,갤럭시 GALAXY 88올림픽 빈티지 쿼츠 손목 시계,갤럭시 galax y 88올림픽 빈티지 쿼츠 손목 시계,59000,판매중,https://m.bunjang.co.kr/products/387484394,갤럭시 galaxy 88올림픽 빈티지 쿼츠 손목 시계,갤럭시 galax y 88올림픽 빈티지 쿼츠 손목 시계,갤럭시,galax,y,88올림픽,빈티지,쿼츠,손목,시계
갤럭시,번개장터,411808721,갤럭시 GTX1050TI LP 4기가,갤럭시 gtx 1050ti lp 4gb,110000,판매중,https://m.bunjang.co.kr/products/411808721,갤럭시 gtx1050ti lp 4gb,갤럭시 gtx 1050ti lp 4gb,갤럭시,gtx,1050ti,lp,4gb,,,
갤럭시,번개장터,411660501,갤럭시 GTX 1050TI 그래픽카드 거의 새상품입니다,갤럭시 gtx 1050ti 그래픽 카드 거의 입니다,115000,판매중,https://m.bunjang.co.kr/products/411660501,갤럭시 gtx 1050ti 그래픽카드 거의 입니다,갤럭시 gtx 1050ti 그래픽 카드 거의 입니다,갤럭시,gtx,1050ti,그래픽,카드,거의,입니다,
갤럭시,번개장터,412313410,갤럭시 GTX 1060 3GB 판매,갤럭시 gtx 3gb,70000,판매중,https://m.bunjang.co.kr/products/412313410,갤럭시 gtx 3gb,갤럭시 gtx 3gb,갤럭시,gtx,3gb,,,,,
갤럭시,번개장터,406555329,갤럭시 gtx1660super 6gb oc GALAX 1660슈퍼,갤럭시 gtx super 6gb oc ga la x,150000,예약중,https://m.bunjang.co.kr/products/406555329,갤럭시 gtx1660super 6gb oc galax 1660슈퍼,갤럭시 gtx super 6gb oc ga la x 1660슈퍼,갤럭시,gtx,super,6gb,oc,ga,la,x
갤럭시,번개장터,411779384,갤럭시 GTX 1660 SUPER EX WHITE OC,갤럭시 gtx super ex white oc,165000,판매중,https://m.bunjang.co.kr/products/411779384,갤럭시 gtx super ex white oc,갤럭시 gtx super ex white oc,갤럭시,gtx,super,ex,white,oc,,
갤럭시,번개장터,412159713,갤럭시 GTX1660 Ti A급,갤럭시 gtx ti,140000,판매중,https://m.bunjang.co.kr/products/412159713,갤럭시 gtx1660 ti,갤럭시 gtx ti,갤럭시,gtx,ti,,,,,
갤럭시,번개장터,407147007,[무료배송] 중고 갤럭시 GTX960 개간지 EXOC D5 4GB,갤럭시 gtx 개간지 ex oc d5 4gb,96000,판매중,https://m.bunjang.co.kr/products/407147007,갤럭시 gtx960 개간지 exoc d5 4gb,갤럭시 gtx 개간지 ex oc d5 4gb,갤럭시,gtx,개간지,ex,oc,d5,4gb,
갤럭시,번개장터,359998502,갤럭시 GX 블랙 에센셜 울 더블 셋업 팬츠 90 새상품,갤럭시 gx 에센셜 울 더블 셋업 팬츠,60000,판매중,https://m.bunjang.co.kr/products/359998502,갤럭시 gx 에센셜 울 더블 셋업 팬츠,갤럭시 gx 에센셜 울 더블 셋업 팬츠,갤럭시,gx,에센셜,울,더블,셋업,팬츠,
갤럭시,번개장터,410328165,갤럭시J2PRO,갤럭시 j2pro,70000,판매중,https://m.bunjang.co.kr/products/410328165,갤럭시j2pro,갤럭시 j2pro,갤럭시,j2pro,,,,,,
갤럭시,중고나라,228988050,갤럭시J2PRO,갤럭시 j2pro,70000,판매중,https://web.joongna.com/product/228988050,갤럭시j2pro,갤럭시 j2pro,갤럭시,j2pro,,,,,,
