keyword,cluster_id,representative_name,original_representative_name,item_count,min_price,median_price,average_price,max_price,sample_names,original_sample_names
아이폰,285,아이폰 7 매트블랙 서브폰 공기계,아이폰 7 매트블랙 서브폰 공기계,4,83000,165000.0,164500.0,245000,무결점 아이폰 8 리퍼 새기기 서브폰 끝판왕 | 아이폰 7 매트블랙 서브폰 공기계 | 아이폰6s wifi 서브폰 공기계 | 아이폰 7 매트블랙 공기계 서브폰,[무결점] 아이폰 8 64GB 리퍼 새기기! 서브폰 끝판왕! | 아이폰 7 매트블랙 서브폰 공기계 | 아이폰6s WiFi 서브폰 공기계 | 아이폰 7 매트블랙 공기계 서브폰
아이폰,49,211273 아이폰8플러스 골드 폰 배터리95,211273 아이폰8플러스 64GB 골드 중고폰 배터리95%,4,150000,174000.0,223250.0,395000,212262 아이폰7플러스 골드 인스타 a급 배터리95 | 아이폰 se3 배터리95 s급 | 211273 아이폰8플러스 골드 폰 배터리95 | 아이폰8플러스 8 플러스 블랙 무잔상 폰 배터리95 119005,212262 아이폰7플러스 골드 32G 인스타 A급 배터리95% | 아이폰 se3 128gb 배터리95% s급 풀박스 | 211273 아이폰8플러스 64GB 골드 중고폰 배터리95% | 아이폰8플러스 8+ 블랙 64GB 무잔상 중고폰 배터리95% 119005
아이폰,651,대용량 아이폰se2 블랙,대용량 아이폰SE2 256G 블랙 판매해요.,4,110000,174500.0,234750.0,480000,대용량 64기가 100 아이폰6 실버 | 애플 아이폰 13 미니 대용량 박스폰 깨끗 | 102765 아이폰6 128기가 골드 대용량 공기계 | 대용량 아이폰se2 블랙,대용량 64기가 100% 아이폰6 실버 | 애플 아이폰 13 미니 (대용량 512GB ) 박스폰 깨끗 | [102765] 아이폰6 128기가 골드 대용량 공기계 | 대용량 아이폰SE2 256G 블랙 판매해요.
아이폰,318,211100 아이폰8 블랙 폰 배터리100,211100 아이폰8 64GB 블랙 중고폰 배터리100%,4,128000,183000.0,180500.0,228000,아이폰8 골드 배터리100 8 022 | 213444 아이폰8 실버 a급 폰 배터리100 | 211100 아이폰8 블랙 폰 배터리100 | 아이폰8 골드 a급 폰 배터리100,아이폰8 골드 64GB 배터리100% (8-022) | 213444 아이폰8 64GB 실버 A급 중고폰 배터리100% | 211100 아이폰8 64GB 블랙 중고폰 배터리100% | 아이폰8 256GB 골드 A급 중고폰 배터리100%
아이폰,718,애플 아이폰3gs 16기가,애플 아이폰3gs 16기가,4,30000,190000.0,227500.0,500000,아이폰3gs 블랙 | 애플 아이폰3gs 16기가 | 아이폰3gs a1303 블랙 화이트 옛날구형스마트폰 | 아이폰3gs 32기가 블랙 리퍼 새폰,아이폰3gs 블랙 판매합니다 | 애플 아이폰3gs 16기가 | 아이폰3GS 32GB A1303 풀박 블랙&화이트 옛날구형스마트폰 | 아이폰3gs 32기가 블랙 리퍼 새폰
아이폰,182,아이폰 2세대 이어폰,아이폰 2세대 이어폰,4,40000,194000.0,164500.0,230000,아이폰 3세대 이어폰 | 아이폰 2세대 이어폰 | 무선 이어폰 에어팟 x,아이폰 3세대 이어폰 | 아이폰 2세대 이어폰 | 무선 이어폰 판매합니다 (에어팟 X)
아이폰,275,아이폰12 64기가 퍼플,아이폰12 64기가 퍼플 판매합니다.,4,185000,202500.0,207250.0,239000,아이폰12미니 64기가 퍼플 0520 | 아이폰12 64기가 퍼플 | 아이폰12 64기가,아이폰12미니 64기가 퍼플  / 0520 | 아이폰12 64기가 퍼플 판매합니다. | 아이폰12 64기가팝니다
아이폰,14,s급 아이폰8 화이트 18864,[S급] 아이폰8 256G 화이트 [18864],4,163000,210000.0,198250.0,210000,s급 아이폰8 화이트 18864 | 아이폰8블랙64,[S급] 아이폰8 256G 화이트 [18864] | 아이폰8블랙64
아이폰,548,급 순정 아이폰se1 실버 배터리 100,"[새상품급,순정]아이폰se1 실버 128g 배터리 100%",4,210000,210000.0,220000.0,250000,급 순정 아이폰se1 실버 배터리 100 | 급 순정 아이폰se1 스그 배터리 100 | 급 순정 아이폰se1 로즈골드 배터리 100 | 아이폰se1 대만판 카메라 무음 순정,"[새상품급,순정]아이폰se1 실버 128g 배터리 100% | [새상품급,순정]아이폰se1 스그 128g 배터리 100% | [새상품급,순정]아이폰se1 로즈골드 128g 배터리 100% | 아이폰se1 64GB 대만판 카메라 무음 순정"
아이폰,516,뿌아잉 n 아이폰17e,뿌아잉**n(아이폰17E 256G),4,50000,225000.0,197500.0,290000,뿌아잉 n 아이폰17e | 사기꾼미워 구 고객님 아이폰17e | 고기튀 500억고객님 아이폰17e | 아이폰17e 케이스,뿌아잉**n(아이폰17E 256G) | 사기꾼미워*구 고객님 (아이폰17E 256G) | 고기튀*500억고객님 (아이폰17E 256G) | 아이폰17e 정품케이스
