platform,row_count,unique_pid_count,unique_keyword_count,accuracy_pass_count,accuracy_fail_count,accuracy_pass_rate,bracket_title_count,bracket_title_rate,avg_title_length,avg_price,median_price,status_counts,top_keywords
번개장터,18767,18767,20,17557,1210,0.9355,1148,0.0612,24.50,1111477.12,140000.00,판매중:18314 | 예약중:453,갤럭시:9963 | 스텔라이브:1598 | 세이코:1533 | 핫토이:1341 | 던스:799 | ps5:624 | 바이씨니:567 | 만년필:546 | 게이밍 노트북:475 | 제라늄:319 | 골드바:272 | 메탈빌드:164 | 5090:154 | y700:125 | a7c2:97
중고나라,6222,6222,20,6055,167,0.9732,252,0.0405,22.92,843648.27,150000.00,판매중:4947 | 거래완료:983 | 예약중:292,메탈빌드:487 | 제라늄:480 | 핫토이:471 | 세이코:453 | 갤럭시:451 | 만년필:450 | 던스:444 | 게이밍 노트북:410 | ps5:394 | 바이씨니:384 | 붉은사막:356 | 안스리움:327 | 스텔라이브:270 | 골드바:254 | 5090:155
